id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,pymnt_plan,purpose,title,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,recoveries,collection_recovery_fee,policy_code,tot_cur_bal,total_rev_hi_lim
1,15000,15000,15000, 60 months,19.99,397.33,E,E4,Sales Consultant,2 years,RENT,46900,n,debt_consolidation,Debt consolidation,VA,21.08,0,Jan-2010,2,10,0,11736,39.3,17,w,14401.39,14401.39,0,0,1,43804,29900
2,20000,20000,20000, 36 months,18.99,733.02,E,E1,TRANSPORTAION MANAGER,10+ years,RENT,80000,n,debt_consolidation,Debt consolidation,NJ,22.71,0,Nov-1994,0,10,0,40950,97.7,29,w,11947.7,11947.7,0,0,1,50777,41900
3,10000,10000,10000, 60 months,16.99,248.48,D,D3,supervisor,10+ years,MORTGAGE,55000,n,debt_consolidation,Debt consolidation,AL,15.03,0,Sep-2000,0,10,1,1759,12,25,w,9101.23,9101.23,0,0,1,149114,14700
4,12000,12000,12000, 36 months,15.31,417.81,C,C2,TM AG LLC,2 years,OTHER,40000,n,credit_card,Credit card refinancing,SD,14.52,0,Aug-2005,0,10,0,8996,84.1,14,f,0,0,0,0,1,75043,10700
5,20000,20000,20000, 36 months,9.99,645.25,B,B3,Instructor,10+ years,OWN,85000,n,home_improvement,Home improvement,DE,13.24,1,Mar-1993,0,8,0,7974,47.5,29,w,0,0,0,0,1,259060,16800
6,7200,7200,7200, 36 months,20.2,268.32,E,E3,Laboratory Technician,3 years,OWN,53000,n,debt_consolidation,Debt consolidation,RI,15.17,1,Jul-2005,1,9,0,4401,61.1,14,f,3937.98,3937.98,0,0,1,14033,7200
7,8000,8000,7975, 36 months,9.99,258.1,B,B1,Solution Center Consultant III,6 years,MORTGAGE,51507,n,debt_consolidation,Debt Consolidation Loan,GA,15.27,0,May-1998,0,8,0,13422,34,19,f,0,0,0,0,1,132051,39500
8,10750,10750,10750, 60 months,15.1,256.31,C,C2,Custodian,10+ years,MORTGAGE,32385.6,n,credit_card,Get Out Of Debt,PA,13.01,0,Jan-1997,0,7,0,11794,69,18,w,0,0,0,0,1,11794,17100
9,14975,14975,14975, 60 months,25.78,446.42,F,F5,dockmanager,10+ years,MORTGAGE,52000,n,home_improvement,Home improvement,TX,27.44,0,Aug-2003,1,8,0,2855,18.1,24,w,14592.78,14592.78,0,0,1,55973,15800
10,14000,14000,13425, 36 months,7.51,435.56,A,A4,North Cities UPC,5 years,MORTGAGE,60000,n,debt_consolidation,Personal Loan,TX,17.4,0,Feb-1993,0,5,0,14525,49.9,15,f,0,0,0,0,1,,
11,10500,10500,10500, 36 months,7.62,327.2,A,A3,Greater Peace Baptist Church,10+ years,MORTGAGE,72000,n,small_business,Business,AL,4.47,0,Sep-1972,1,5,0,12292,29.7,23,w,0,0,0,0,1,232799,45900
12,10350,10350,10350, 60 months,20.62,277.8,F,F2,miami beach police dept,3 years,RENT,50004,n,debt_consolidation,2011 Debt Consolidation,FL,18,0,Dec-2006,1,11,0,9936,54.6,14,f,0,0,447.61,4.26,1,,
13,10000,10000,10000, 36 months,14.09,342.22,B,B5,Lexus of GLendale,4 years,RENT,60000,n,debt_consolidation,Debt assistance,CA,30.58,0,Mar-1989,2,13,0,8597,42.1,27,f,0,0,0,0,1,50564,20400
14,20000,12150,10171.9, 36 months,8.88,385.69,B,B1,jetblue airways,6 years,RENT,60000,n,other,sister's wedding expence ,NY,7.96,0,May-2005,0,6,0,11873,51.6,15,f,0,0,493.97,4.91,1,,
15,17000,17000,17000, 36 months,6.24,519.03,A,A2,Social worker,3 years,RENT,56000,n,credit_card,Credit card refinancing,MA,8.06,0,Oct-2001,0,8,0,17189,41.1,12,w,16569.37,16569.37,0,0,1,17389,41800
16,24000,24000,24000, 60 months,18.49,615.86,D,D2,Fidelity Investments,3 years,MORTGAGE,90000,n,debt_consolidation,Personal Loan,RI,14.75,0,Sep-1996,1,7,0,36562,59.4,18,f,10532.11,10532.11,0,0,1,347383,61600
17,20000,20000,20000, 36 months,13.11,674.94,B,B4,"Morris, Manning & Martin, LLP",10+ years,MORTGAGE,85000,n,debt_consolidation,Debt Away,GA,18.1,1,Mar-1994,0,9,0,18700,80.6,22,f,0,0,0,0,1,34269,23200
18,20000,20000,19975, 36 months,6.03,608.72,A,A1,Genetech,5 years,MORTGAGE,230000,n,debt_consolidation,refinance lower rate,NY,16.18,0,Jun-1989,0,10,0,2496,26.3,29,f,0,0,0,0,1,356794,9500
